POINT,CHAINAGE,EASTING,NORTHING,ELEVATION
900,14079,271200.6351,2103872.601,-18.23138488
901,14080,271201.317,2103873.332,-18.22840289
902,14081,271201.9979,2103874.065,-18.22542089
903,14082,271202.6778,2103874.798,-18.2224389
904,14083,271203.3566,2103875.532,-18.21945691
905,14084,271204.0344,2103876.267,-18.21647492
906,14085,271204.7112,2103877.003,-18.21349293
907,14086,271205.3872,2103877.74,-18.21051094
908,14087,271206.0622,2103878.478,-18.20752895
909,14088,271206.7364,2103879.216,-18.20454696
910,14089,271207.4097,2103879.955,-18.20156497
911,14090,271208.0823,2103880.695,-18.19858298
912,14091,271208.7541,2103881.436,-18.19560098
913,14092,271209.4252,2103882.177,-18.19261899
914,14093,271210.0956,2103882.919,-18.189637
915,14094,271210.7653,2103883.662,-18.18665501
916,14095,271211.4344,2103884.405,-18.18367302
917,14096,271212.103,2103885.148,-18.18069103
918,14097,271212.771,2103885.893,-18.17770904
919,14098,271213.4385,2103886.637,-18.17472705
920,14099,271214.1055,2103887.382,-18.17174506
921,14100,271214.7721,2103888.128,-18.16876307
922,14101,271215.4383,2103888.873,-18.16578107
923,14102,271216.1041,2103889.619,-18.16279908
924,14103,271216.7696,2103890.366,-18.15981709
925,14104,271217.4348,2103891.113,-18.1568351
926,14105,271218.0997,2103891.859,-18.15385311
927,14106,271218.7645,2103892.607,-18.15087112
928,14107,271219.429,2103893.354,-18.14788913
929,14108,271220.0933,2103894.101,-18.14490714
930,14109,271220.7576,2103894.849,-18.14192515
931,14110,271221.4218,2103895.596,-18.13894316
932,14111,271222.0859,2103896.344,-18.13596116
933,14112,271222.7484,2103897.093,-18.13232831
934,14113,271223.4103,2103897.843,-18.12844632
935,14114,271224.0723,2103898.592,-18.12456433
936,14115,271224.7342,2103899.342,-18.12068234
937,14116,271225.3961,2103900.091,-18.11680035
938,14117,271226.0581,2103900.841,-18.11291836
939,14118,271226.72,2103901.59,-18.10903637
940,14119,271227.382,2103902.34,-18.10515438
941,14120,271228.0439,2103903.089,-18.10127238
942,14121,271228.7058,2103903.839,-18.09739039
943,14122,271229.3678,2103904.589,-18.0935084
944,14123,271230.0297,2103905.338,-18.08962641
945,14124,271230.6916,2103906.088,-18.08574442
946,14125,271231.3536,2103906.837,-18.08186243
947,14126,271232.0155,2103907.587,-18.07798044
948,14127,271232.6774,2103908.336,-18.07409845
949,14128,271233.3394,2103909.086,-18.07021646
950,14129,271234.0013,2103909.836,-18.06633447
951,14130,271234.6632,2103910.585,-18.06245247
952,14131,271235.3252,2103911.335,-18.05857048
953,14132,271235.9871,2103912.084,-18.05468849
954,14133,271236.649,2103912.834,-18.0508065
955,14134,271237.311,2103913.583,-18.04692451
956,14135,271237.9729,2103914.333,-18.04304252
957,14136,271238.6348,2103915.082,-18.03916053
958,14137,271239.2968,2103915.832,-18.03527854
959,14138,271239.9587,2103916.582,-18.03139655
960,14139,271240.6207,2103917.331,-18.02751456
961,14140,271241.2826,2103918.081,-18.02363256
962,14141,271241.9445,2103918.83,-18.01975057
963,14142,271242.6065,2103919.58,-18.01586858
964,14143,271243.2684,2103920.329,-18.01198659
965,14144,271243.9303,2103921.079,-18.0081046
966,14145,271244.5923,2103921.829,-18.00422261
967,14146,271245.2542,2103922.578,-18.00034062
968,14147,271245.9161,2103923.328,-17.99645863
969,14148,271246.5781,2103924.077,-17.99257664
970,14149,271247.24,2103924.827,-17.98869465
971,14150,271247.9019,2103925.576,-17.98481265
972,14151,271248.5639,2103926.326,-17.98093066
973,14152,271249.2258,2103927.075,-17.97704867
974,14153,271249.8877,2103927.825,-17.97316668
975,14154,271250.5497,2103928.575,-17.96928469
976,14155,271251.2116,2103929.324,-17.9654027
977,14156,271251.8735,2103930.074,-17.96152071
978,14157,271252.5355,2103930.823,-17.95763872
979,14158,271253.1974,2103931.573,-17.95375673
980,14159,271253.8593,2103932.322,-17.94987474
981,14160,271254.5213,2103933.072,-17.94599274
982,14161,271255.1832,2103933.821,-17.94211075
983,14162,271255.8452,2103934.571,-17.93822876
984,14163,271256.5071,2103935.321,-17.93434677
985,14164,271257.169,2103936.07,-17.93046478
986,14165,271257.831,2103936.82,-17.92658279
987,14166,271258.4929,2103937.569,-17.9227008
988,14167,271259.1548,2103938.319,-17.91881881
989,14168,271259.8168,2103939.068,-17.91493682
990,14169,271260.4787,2103939.818,-17.91105483
991,14170,271261.1406,2103940.568,-17.90717283
992,14171,271261.8036,2103941.316,-17.90286031
993,14172,271262.468,2103942.064,-17.89801468
994,14173,271263.1324,2103942.811,-17.89316906
995,14174,271263.797,2103943.558,-17.88832343
996,14175,271264.4618,2103944.305,-17.8834778
997,14176,271265.1268,2103945.052,-17.87863217
998,14177,271265.7922,2103945.799,-17.87378655
999,14178,271266.4579,2103946.545,-17.86894092
1000,14179,271267.1241,2103947.29,-17.86409529
1001,14180,271267.7908,2103948.036,-17.85924966
1002,14181,271268.458,2103948.781,-17.85440404
1003,14182,271269.1258,2103949.525,-17.84955841
1004,14183,271269.7943,2103950.269,-17.84471278
1005,14184,271270.4636,2103951.012,-17.83986715
1006,14185,271271.1336,2103951.754,-17.83502153
1007,14186,271271.8044,2103952.495,-17.8301759
1008,14187,271272.4762,2103953.236,-17.82533027
1009,14188,271273.1489,2103953.976,-17.82048465
1010,14189,271273.8226,2103954.715,-17.81563902
1011,14190,271274.4974,2103955.453,-17.81079339
1012,14191,271275.1734,2103956.189,-17.80594776
1013,14192,271275.8505,2103956.925,-17.80110214
1014,14193,271276.5288,2103957.66,-17.79625651
1015,14194,271277.2085,2103958.393,-17.79141088
1016,14195,271277.8895,2103959.125,-17.78656525
1017,14196,271278.5719,2103959.856,-17.78171963
1018,14197,271279.2557,2103960.585,-17.776874
1019,14198,271279.9411,2103961.313,-17.77202837
1020,14199,271280.628,2103962.04,-17.76718274
1021,14200,271281.3166,2103962.765,-17.76233712
1022,14201,271282.0068,2103963.488,-17.75749149
1023,14202,271282.6988,2103964.21,-17.75264586
1024,14203,271283.3925,2103964.929,-17.74780023
1025,14204,271284.0881,2103965.648,-17.74295461
1026,14205,271284.7856,2103966.364,-17.73810898
1027,14206,271285.485,2103967.078,-17.73326335
1028,14207,271286.1864,2103967.79,-17.72841773
1029,14208,271286.8898,2103968.501,-17.7235721
1030,14209,271287.5953,2103969.209,-17.71872647
1031,14210,271288.303,2103969.915,-17.71388084
1032,14211,271289.0128,2103970.619,-17.70903522
1033,14212,271289.7249,2103971.32,-17.70418959
1034,14213,271290.4392,2103972.019,-17.69934396
1035,14214,271291.1559,2103972.716,-17.69449833
1036,14215,271291.8749,2103973.41,-17.68965271
1037,14216,271292.5964,2103974.102,-17.68480708
1038,14217,271293.3203,2103974.791,-17.67996145
1039,14218,271294.0467,2103975.478,-17.67511582
1040,14219,271294.7757,2103976.161,-17.6702702
