POINT,EASTING,NORTHING,ELEVATION
18.2,271515.3025,2104028.188,-14.8489
18.3,271515.0837,2104027.364,-16.8663
18.4,271515.2975,2104028.178,-18.9577
18.5,271515.8929,2104030.13,-19.8112
18.6,271516.364,2104032.147,-18.9462
18.7,271516.5813,2104032.946,-16.8871
18.8,271516.3632,2104032.134,-14.8526
19.1,271514.4923,2104030.506,-14.0042
19.2,271513.9655,2104028.502,-14.8834
19.3,271513.7482,2104027.713,-16.8743
19.4,271513.9413,2104028.526,-18.9542
19.5,271514.4729,2104030.504,-19.8134
19.6,271514.9829,2104032.503,-18.9553
19.7,271515.2079,2104033.305,-16.9081
19.8,271515.0116,2104032.501,-14.8659
20.1,271513.144,2104030.88,-13.996
20.2,271512.6341,2104028.878,-14.8424
20.3,271512.417,2104028.057,-16.8561
20.4,271512.6054,2104028.877,-18.9506
20.5,271513.1115,2104030.833,-19.8092
20.6,271513.6068,2104032.841,-18.9627
20.7,271513.8279,2104033.663,-16.9069
20.8,271513.6306,2104032.828,-14.8352
25.1,271506.3184,2104032.572,-13.9876
25.2,271505.8548,2104030.538,-14.8236
25.3,271505.6601,2104029.699,-16.7961
25.4,271505.8387,2104030.511,-18.9236
25.5,271506.2759,2104032.517,-19.7862
25.6,271506.7453,2104034.506,-18.9588
25.7,271506.9342,2104035.349,-16.9018
25.8,271506.7577,2104034.534,-14.8564
30.1,271499.504,2104034.057,-13.9801
30.2,271499.0776,2104032.001,-14.8287
30.3,271498.8839,2104031.178,-16.9067
30.4,271499.0243,2104031.983,-18.9158
30.5,271499.4258,2104034.001,-19.7762
30.6,271499.8393,2104036.001,-18.9541
30.7,271500.0312,2104036.85,-16.885
30.8,271499.8843,2104035.991,-14.8073
35.1,271492.5821,2104035.339,-13.9653
35.2,271492.2185,2104033.328,-14.8007
35.3,271492.066,2104032.481,-16.792
35.4,271492.2235,2104033.314,-18.9175
35.5,271492.5675,2104035.301,-19.7715
35.6,271492.9531,2104037.338,-18.9305
35.7,271493.0993,2104038.173,-16.8899
35.8,271492.947,2104037.343,-14.8209
40.1,271485.6755,2104036.487,-13.9825
40.2,271485.3842,2104034.438,-14.8216
40.3,271485.2697,2104033.589,-16.8691
40.4,271485.3908,2104034.406,-18.9222
40.5,271485.6625,2104036.446,-19.7871
40.6,271485.9679,2104038.48,-18.9461
40.7,271486.0807,2104039.323,-16.9214
40.8,271485.9624,2104038.49,-14.8457
45.1,271478.7215,2104037.397,-13.9955
45.2,271478.5138,2104035.358,-14.8032
45.3,271478.4356,2104034.482,-16.8202
45.4,271478.534,2104035.3,-18.9156
45.5,271478.754,2104037.363,-19.7941
45.6,271478.9645,2104039.384,-18.9662
45.7,271479.0358,2104040.231,-16.9504
45.8,271478.936,2104039.41,-14.8578
50.1,271471.8156,2104038.084,-14.0113
50.2,271471.642,2104036.028,-14.828
50.3,271471.5579,2104035.16,-16.906
50.4,271471.609,2104035.991,-18.9501
50.5,271471.7652,2104038.013,-19.8079
50.6,271471.9459,2104040.051,-18.996
50.7,271472.0358,2104040.929,-16.9198
50.8,271471.9798,2104040.104,-14.8753
55.1,271464.7738,2104038.531,-14.0448
55.2,271464.6895,2104036.497,-14.8597
55.3,271464.6758,2104035.62,-16.9235
55.4,271464.7372,2104036.45,-18.9858
55.5,271464.8458,2104038.497,-19.8473
55.6,271464.9291,2104040.533,-19.0175
55.7,271464.951,2104041.402,-16.959
55.8,271464.885,2104040.572,-14.9101
60.1,271457.8023,2104038.786,-14.0658
60.2,271457.7765,2104036.722,-14.9069
60.3,271457.7765,2104035.861,-16.9303
60.4,271457.7911,2104036.68,-18.9863
60.5,271457.8302,2104038.739,-19.8681
60.6,271457.8497,2104040.798,-19.038
60.7,271457.8614,2104041.653,-16.9806
60.8,271457.84,2104040.808,-14.9164
65.1,271450.8124,2104038.866,-14.0956
65.2,271450.8435,2104036.857,-14.8569
65.3,271450.8649,2104035.921,-16.8632
65.4,271450.852,2104036.751,-19.0376
65.5,271450.8279,2104038.774,-19.8991
65.6,271450.7894,2104040.459,-19.3783
65.7,271450.7713,2104041.709,-17.021
65.8,271450.7813,2104040.92,-15.0022
70.1,271443.8007,2104038.781,-14.1263
70.2,271443.8877,2104036.682,-14.9479
70.3,271443.9224,2104035.797,-16.9574
70.4,271443.887,2104036.606,-19.0642
70.5,271443.7944,2104038.632,-19.929
70.6,271443.7124,2104040.68,-19.1243
70.7,271443.6724,2104041.568,-17.0542
70.8,271443.7157,2104040.755,-15.0129
75.1,271436.8126,2104038.324,-14.1689
75.2,271436.9605,2104036.289,-14.9714
75.3,271437.0265,2104035.407,-16.9645
75.4,271436.97,2104036.203,-19.0868
75.5,271436.7984,2104038.307,-19.9708
75.6,271436.6638,2104040.277,-19.1689
75.7,271436.5948,2104041.168,-17.0987
75.8,271436.6614,2104040.34,-15.0417
80.1,271429.8241,2104037.766,-14.1795
80.2,271430.029,2104035.681,-15.0049
80.3,271430.1205,2104034.831,-17.0188
80.4,271430.0477,2104035.64,-19.1035
80.5,271429.8302,2104037.68,-19.9792
80.6,271429.6463,2104039.708,-19.1743
80.7,271429.5524,2104040.58,-17.1348
80.8,271429.6326,2104039.768,-15.0666
85.1,271422.8734,2104037.007,-14.2028
85.2,271423.1574,2104034.948,-15.018
85.3,271423.2749,2104034.084,-16.9659
85.4,271423.1659,2104034.868,-19.1207
85.5,271422.8667,2104036.933,-20.0073
85.6,271422.5998,2104038.928,-19.2054
85.7,271422.4799,2104039.797,-17.1615
85.8,271422.5992,2104038.996,-15.0982
90.1,271415.9238,2104035.973,-14.2402
90.2,271416.2527,2104033.946,-15.0443
90.3,271416.4097,2104033.07,-17.071
90.4,271416.3031,2104033.883,-19.1742
90.5,271415.9705,2104035.929,-20.042
90.6,271415.6481,2104037.935,-19.2084
90.7,271415.4911,2104038.783,-17.184
90.8,271415.6095,2104037.971,-15.1192
95.1,271409.0498,2104034.751,-14.2697
95.2,271409.4509,2104032.714,-15.1028
95.3,271409.6213,2104031.865,-17.0596
95.4,271409.4735,2104032.661,-19.1993
95.5,271409.0464,2104034.723,-20.0745
95.6,271408.6755,2104036.688,-19.2437
95.7,271408.5019,2104037.54,-17.2094
95.8,271408.6611,2104036.74,-15.1455
100.1,271402.2366,2104033.285,-14.2965
100.2,271402.6971,2104031.27,-15.1428
100.3,271402.8852,2104030.442,-17.1489
100.4,271402.6907,2104031.264,-19.2493
100.5,271402.2197,2104033.259,-20.0901
100.6,271401.78,2104035.254,-19.2462
100.7,271401.598,2104036.08,-17.1981
100.8,271401.7898,2104035.249,-15.1295
105.1,271395.4441,2104031.618,-14.3084
105.2,271395.9492,2104029.673,-15.1433
105.3,271396.1632,2104028.836,-17.2259
105.4,271395.9323,2104029.684,-19.3057
105.5,271395.4205,2104031.63,-20.1101
105.6,271394.8969,2104033.647,-19.2301
105.7,271394.7053,2104034.435,-17.167
105.8,271394.9216,2104033.623,-15.1657
110.1,271388.6693,2104029.807,-14.3178
110.2,271389.2552,2104027.83,-15.1828
110.3,271389.4988,2104027.026,-17.2111
110.4,271389.263,2104027.821,-19.2707
110.5,271388.7052,2104029.759,-20.1274
110.6,271388.0973,2104031.768,-19.2659
110.7,271387.8623,2104032.572,-17.1954
110.8,271388.1066,2104031.721,-15.1353
115.1,271381.9841,2104027.713,-14.3614
115.2,271382.6023,2104025.802,-15.2103
115.3,271382.8731,2104024.992,-17.2357
115.4,271382.6266,2104025.785,-19.3095
115.5,271382.0438,2104027.749,-20.1608
115.6,271381.3673,2104029.696,-19.3084
115.7,271381.1039,2104030.501,-17.2546
115.8,271381.3519,2104029.7,-15.2143
120.1,271375.3413,2104025.503,-14.3752
120.2,271376.0365,2104023.558,-15.2302
120.3,271376.3156,2104022.764,-17.1976
120.4,271376.0381,2104023.536,-19.322
120.5,271375.3219,2104025.482,-20.1788
120.6,271374.6509,2104027.404,-19.3347
120.7,271374.3667,2104028.207,-17.2695
120.8,271374.6617,2104027.406,-15.2288
125.1,271368.7652,2104023.052,-14.4079
125.2,271369.525,2104021.157,-15.2507
125.3,271369.8523,2104020.356,-17.2674
125.4,271369.559,2104021.129,-19.3563
125.5,271368.8369,2104023.055,-20.2201
125.6,271368.0454,2104024.916,-19.3938
125.7,271367.7137,2104025.727,-17.3199
125.8,271368.0213,2104024.935,-15.2575
130.1,271362.2998,2104020.438,-14.4398
130.2,271363.118,2104018.547,-15.2796
130.3,271363.4508,2104017.752,-17.2463
130.4,271363.115,2104018.507,-19.3825
130.5,271362.2467,2104020.431,-20.2336
130.6,271361.4766,2104022.279,-19.3874
130.7,271361.1419,2104023.061,-17.3412
130.8,271361.4826,2104022.301,-15.2945
135.1,271355.8722,2104017.555,-14.4674
135.2,271356.7493,2104015.694,-15.3179
135.3,271357.1251,2104014.927,-17.3487
135.4,271356.7931,2104015.698,-19.4187
135.5,271355.9236,2104017.565,-20.2633
135.6,271355.0471,2104019.447,-19.3786
135.7,271354.6805,2104020.175,-17.3446
135.8,271355.0212,2104019.4,-15.3083
140.1,271349.5651,2104014.544,-14.4955
140.2,271350.5238,2104012.698,-15.3479
140.3,271350.9258,2104011.941,-17.3821
140.4,271350.5571,2104012.687,-19.4435
140.5,271349.5887,2104014.548,-20.2944
140.6,271348.6812,2104016.334,-19.4539
140.7,271348.2705,2104017.089,-17.4205
140.8,271348.6458,2104016.331,-15.3411
145.1,271343.371,2104011.333,-14.5294
145.2,271344.3577,2104009.498,-15.3613
145.3,271344.7599,2104008.736,-17.3965
145.4,271344.3652,2104009.468,-19.4694
145.5,271343.3724,2104011.28,-20.3223
145.6,271342.4197,2104013.075,-19.4962
145.7,271342.0132,2104013.834,-17.4408
145.8,271342.4195,2104013.091,-15.3811
150.1,271337.2901,2104007.877,-14.5403
150.2,271338.324,2104006.126,-15.3783
150.3,271338.7657,2104005.383,-17.4544
150.4,271338.3338,2104006.125,-19.5098
150.5,271337.3102,2104007.894,-20.3333
150.6,271336.2674,2104009.649,-19.4912
150.7,271335.84,2104010.377,-17.4146
150.8,271336.2456,2104009.66,-15.4077
155.1,271331.3014,2104004.274,-14.5659
155.2,271332.3851,2104002.543,-15.4138
155.3,271332.8384,2104001.82,-17.4326
155.4,271332.3835,2104002.53,-19.5194
155.5,271331.3238,2104004.259,-20.3657
155.6,271330.2763,2104005.906,-19.6378
155.7,271329.7712,2104006.733,-17.4669
155.8,271330.2446,2104005.972,-15.3708
160.1,271325.408,2104000.464,-14.597
160.2,271326.5417,2103998.795,-15.4409
160.3,271327.0349,2103998.088,-17.4952
160.4,271326.5778,2103998.778,-19.5473
160.5,271325.4258,2104000.501,-20.398
160.6,271324.3326,2104002.108,-19.637
160.7,271323.7995,2104002.89,-17.4704
160.8,271324.2685,2104002.166,-15.4272
165.1,271319.627,2103996.532,-14.6115
165.2,271320.8231,2103994.863,-15.4727
165.3,271321.3207,2103994.179,-17.4854
165.4,271320.818,2103994.88,-19.5834
165.5,271319.6528,2103996.535,-20.4189
165.6,271318.4938,2103998.138,-19.6406
165.7,271317.9566,2103998.892,-17.4949
165.8,271318.465,2103998.166,-15.4228
170.1,271313.9465,2103992.396,-14.6509
170.2,271315.1806,2103990.761,-15.512
170.3,271315.6791,2103990.114,-17.2807
170.4,271315.1959,2103990.79,-19.6106
170.5,271313.9569,2103992.402,-20.4507
170.6,271312.7288,2103994.069,-19.5743
170.7,271312.2216,2103994.72,-17.5057
170.8,271312.7269,2103994.026,-15.4808
175.1,271308.4081,2103988.106,-14.6724
175.2,271309.7073,2103986.518,-15.5359
175.3,271310.2449,2103985.878,-17.4675
175.4,271309.7338,2103986.537,-19.6374
175.5,271308.4177,2103988.14,-20.487
175.6,271307.1397,2103989.724,-19.6172
175.7,271306.6019,2103990.36,-17.572
175.8,271307.1257,2103989.697,-15.5256
180.1,271303.0258,2103983.626,-14.6996
180.2,271304.3492,2103982.082,-15.5419
180.3,271304.9164,2103981.444,-17.5503
180.4,271304.3868,2103982.105,-19.6567
180.5,271303.0434,2103983.637,-20.4974
180.6,271301.7204,2103985.222,-19.6497
180.7,271301.158,2103985.846,-17.5935
180.8,271301.6863,2103985.204,-15.5575
185.1,271297.7922,2103979.013,-14.7262
185.2,271299.1837,2103977.484,-15.5842
185.3,271299.7468,2103976.866,-17.6461
185.4,271299.1833,2103977.495,-19.6841
185.5,271297.7916,2103978.991,-20.5213
185.6,271296.4092,2103980.532,-19.6601
185.7,271295.8418,2103981.147,-17.6141
185.8,271296.4432,2103980.493,-15.541
190.1,271292.6701,2103974.192,-14.7607
190.2,271294.0952,2103972.737,-15.6163
190.3,271294.6967,2103972.147,-17.6056
190.4,271294.1126,2103972.783,-19.7255
190.5,271292.7186,2103974.216,-20.5559
190.6,271291.26,2103975.727,-19.6884
190.7,271290.6646,2103976.306,-17.6321
190.8,271291.2404,2103975.678,-15.6003
195.1,271287.6765,2103969.335,-14.7947
195.2,271289.1395,2103967.891,-15.6358
